Layer	Feature	Classes/Functions	Android	iOS	WP7	BBy	J2ME	Moblin	MoRE	Sym	WinMo	Notes
C++	MAUI	MAUI::InputManager	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::ItemSelectedListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Label	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Layout	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::ListBox	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Scaler	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Screen	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Widget	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::WidgetListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::WidgetSkin	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::WidgetSkin::CacheElement	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::WidgetSkin::CacheKey	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Memory	maGetMemoryProtection	No	No	No	No	No	No	Yes	No	No	NONE
C	Memory	maTotalObjectMemory	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Memory	maUnprotectMemory	No	No	No	No	No	No	Yes	No	No	NONE
C	Memory	memcpy	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Memory	memset	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Messaging	Wormhole::Encoder	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Messaging	Wormhole::MessageHandler	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	New in 3.2
C++	Messaging	Wormhole::MessageProtocol	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Messaging	Wormhole::MessageStream	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Messaging	Wormhole::MessageStreamJSON	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Messaging	Wormhole::WebViewMessage	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	Deprecated (use Wormhole::MessageStream, Wormhole::MessageStreamJSON)
C++	Moblet	MAUtil::Moblet	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Moblet	Wormhole::CustomMoblet	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	New in 3.2
C++	Moblet	Wormhole::HybridMoblet	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	New in 3.2
C++	Moblet	Wormhole::WebAppMoblet	Yes	Yes	Yes	N/A	N/A	N/A	N/A	N/A	N/A	Deprecated (use Wormhole:HybridMoblet)
HTML5	NativeUI	document.getNativeElementById	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
C	NativeUI	maWidgetAddChild	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetDestroy	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetGetProperty	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAWidgetHandle maWidgetCreate	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetInsertChild	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetModalDialogHide	Yes	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetModalDialogShow	Yes	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetRemoveChild	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetScreenShow	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetSetProperty	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetStackScreenPop	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	maWidgetStackScreenPush	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_ACTIVITY_INDICATOR	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_BUTTON	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_CAMERA_PREVIEW	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_CHECK_BOX	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_DATE_PICKER	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_EDIT_BOX	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_GL2_VIEW	Yes	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	MAW_GL_VIEW	Yes	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	MAW_HORIZONTAL_LAYOUT	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_IMAGE	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_IMAGE_BUTTON	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_LABEL	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_LIST_VIEW	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_LIST_VIEW_ITEM	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_MAP	No	No	Yes	No	No	No	No	No	No	Yes = experimental
C	NativeUI	MAW_MAP_PIN	No	No	Yes	No	No	No	No	No	No	Yes = experimental
C	NativeUI	MAW_MODAL_DIALOG	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_NAV_BAR	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_NUMBER_PICKER	No	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	MAW_PROGRESS_BAR	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_RELATIVE_LAYOUT	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_SCREEN	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_SEARCH_BAR	Yes	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	MAW_SLIDER	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_STACK_SCREEN	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_TAB_SCREEN	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_TIME_PICKER	Yes	Yes	No	No	No	No	No	No	No	NONE
C	NativeUI	MAW_TOGGLE_BUTTON	Yes	N/A	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_VERTICAL_LAYOUT	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_VIDEO_VIEW	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	NativeUI	MAW_WEB_VIEW	Yes	Yes	Yes	No	No	No	No	No	No	NONE
HTML5	NativeUI	mosync.nativeui.*	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
C++	NativeUI	NativeUI::ActivityIndicator	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Button	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ButtonListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::CameraPreview	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::CheckBox	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::CheckBoxListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Date	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::DatePicker	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::DatePickerListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Dialog	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::DialogListener	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::EditBox	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::EditBoxListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::GLView	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::GLViewListener	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::HorizontalLayout	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Image	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ImageButton	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Label	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::LastError	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Layout	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ListView	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ListViewItem	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ListViewListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Map	No	Yes	Yes	No	N/A	No	N/A	No	N/A	New in 3.2
C++	NativeUI	NativeUI::MapListener	No	Yes	Yes	No	N/A	No	N/A	No	N/A	New in 3.2
C++	NativeUI	NativeUI::MapLocation	No	Yes	Yes	No	N/A	No	N/A	No	N/A	New in 3.2
C++	NativeUI	NativeUI::MapPin	No	Yes	Yes	No	N/A	No	N/A	No	N/A	New in 3.2
C++	NativeUI	NativeUI::MapPinListener	No	Yes	Yes	No	N/A	No	N/A	No	N/A	New in 3.2
C++	NativeUI	NativeUI::MapRegion	No	Yes	Yes	No	N/A	No	N/A	No	N/A	New in 3.2
C++	NativeUI	NativeUI::NavigationBar	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::NavigationBarListener	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::NumberPicker	No	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::NumberPickerListener	No	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ProgressBar	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::RadioButton	Yes	N/A	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::RadioButton	Yes	N/A	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::RadioGroup	Yes	N/A	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::RatingBar	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Screen	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::SearchBar	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::SearchBarListener	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Slider	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::SliderListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::StackScreen	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::StackScreenListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::TabScreen	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::TabScreenListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::TextWidget	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::TimePicker	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::TimePickerListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ToggleButton	Yes	No	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::ToggleButtonListener	Yes	No	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::VerticalLayout	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::VideoView	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::VideoViewListener	Yes	Yes	No	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::WebView	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::WebViewListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::Widget	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::WidgetEventListener	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C++	NativeUI	NativeUI::WidgetManager	Yes	Yes	Yes	No	N/A	No	N/A	No	N/A	NONE
C	Network	maConnect	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Network	MAUtil::ImageDownloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	NFC	maNFCAuthenticateMifareSector	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCBatchCommit	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCBatchRollback	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCBatchStart	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCCloseTag	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCConnectTag	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCCreateNDEFMessage	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCDestroyTag	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetMifareBlockCountInSector	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetMifareSectorCount	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFId	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFMessage	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFPayload	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFRecord	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFRecordCount	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFTnf	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetNDEFType	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetSize	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCGetTypedTag	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCIsReadOnly	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCIsType	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCMifareSectorToBlock	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCReadMifareBlocks	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCReadMifarePages	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCReadNDEFMessage	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCReadTag	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCSetNDEFId	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCSetNDEFPayload	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCSetNDEFTnf	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCSetNDEFType	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCSetReadOnly	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCStart	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCStop	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCTransceive	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCWriteMifareBlocks	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCWriteMifarePages	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	NFC	maNFCWriteNDEFMessage	Yes	N/A	N/A	No	N/A	N/A	N/A	No	N/A	NONE
C	Notification	maNotificationLocalCreate	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationLocalDestroy	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationLocalGetProperty	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationLocalSchedule	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationLocalSetProperty	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationLocalUnschedule	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushDestroy	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushGetData	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushGetIconBadge	N/A	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushGetRegistration	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushRegister	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushSetDisplayFlag	Yes	N/A	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushSetIconBadge	N/A	Yes	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushSetMessageTitle	Yes	N/A	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushSetTickerText	Yes	N/A	No	No	N/A	No	No	No	No	NONE
C	Notification	maNotificationPushUnregister	Yes	Yes	No	No	N/A	No	No	No	No	NONE
HTML5	Notification	notification.beep	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Notification	notification.vibrate	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
C++	Notification	Notification::LocalNotification	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Notification	Notification::LocalNotificationListener	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Notification	Notification::NotificationManager	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Notification	Notification::PushNotification	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Notification	Notification::PushNotificationListener	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Notification	PushNotificationManager.accountID	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Notification	PushNotificationManager.listener	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Notification	PushNotificationManager.register	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Notification	PushNotificationManager.types	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Notification	PushNotificationManager.unregister	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
C++	OpenGL	MAUtil::GLMoblet	Yes	Yes	Yes	No	No	No	No	No	N/A	WP7: Experimental
C	OS	maBringToForeground	No	No	N/A	Yes	Yes	No	No	Yes	No	NONE
C	OS	maExit	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	= gracefully handled
C	OS	maGetKeys	No	No	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	maGetMilliSecondCount	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	maGetSystemProperty	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	maHomeScreenEventsOff	Yes	No	No	No	No	No	No	No	No	NONE
C	OS	maHomeScreenEventsOn	Yes	No	No	No	No	No	No	No	No	NONE
C	OS	maHomeScreenShortcutAdd	Yes	No	No	No	No	No	No	No	No	NONE
C	OS	maHomeScreenShortcutRemove	Yes	No	No	No	No	No	No	No	No	NONE
C	OS	maImagePickerOpen	Yes	Yes	No	No	No	No	No	No	No	NONE
C	OS	maKeyCaptureStart	No	No	No	No	No	No	No	No	No	NONE
C	OS	maKeyCaptureStop	No	No	No	No	No	No	No	No	No	NONE
C	OS	maKeypadIsLocked	No	N/A	No	No	No	No	No	Yes	Yes	NONE
C	OS	maLoadProgram	Yes	N/A	Yes	Yes	Yes	No	Yes	Yes	Yes	NONE
C	OS	maLockKeypad	No	N/A	No	Yes	Yes	No	N/A	Yes	Yes	NONE
C	OS	maMessageBox	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	OS	maOptionsBox	Yes	Yes	No	No	No	No	No	No	No	NONE
C	OS	maPlatformRequest	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	maResetBacklight	No	No	No	Yes	Yes	No	No	Yes	Yes	NONE
C	OS	maSendToBackground	Yes	No	No	Yes	Yes	No	Yes	Yes	No	NONE
C	OS	maTextBox	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	maUnlockKeypad	No	N/A	No	Yes	Yes	No	No	Yes	Yes	NONE
C++	OS	MAUtil::Environment	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	OS	MAUtil::FocusListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	OS	MAUtil::IdleListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	OS	MAUtil::KeyListener	Yes	N/A	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	OS	MAUtil::PointerListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	OS	MAUtil::TextBoxListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	OS	MAUtil::TimerListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	maWait	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	OS	x	Yes	No	N/A	No	No	No	No	No	No	NONE
C	Panics	maPanic	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	PIM	maPimFieldType	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemAddValue	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemClose	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemCreate	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemFieldCount	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemGetAttributes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemGetField	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemGetLabel	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemGetValue	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemRemove	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemRemoveValue	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemSetLabel	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimItemSetValue	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimListClose	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimListNext	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C	PIM	maPimListOpen	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	NONE
C++	Purchase	IAP::Purchase	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C++	Purchase	IAP::PurchaseListener	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C++	Purchase	IAP::PurchaseManager	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C++	Purchase	IAP::PurchaseManagerListener	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C++	Purchase	IAP::Receipt	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseCreate	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseDestroy	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseGetField	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseGetName	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseRequest	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseRestoreTransactions	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseSetPublicKey	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseSetStoreURL	N/A	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseSupported	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
C	Purchase	maPurchaseVErifyReceipt	Yes	Yes	N/A	No	No	No	N/A	No	N/A	NONE
