Layer	Feature	Classes/Functions	Android	iOS	WP7	BBy	J2ME	Moblin	MoRE	Sym	WinMo	Notes
C	Resources	maCopyData	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maCreateData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maCreatePlaceholder	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maDestroyObject	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maFindLabel	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maFreeObjectMemory	No	No	No	Yes	Yes	No	Yes	Yes	Yes	NONE
C	Resources	maGetDataSize	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maLoadResources	Yes	N/A	No	Yes	Yes	No	Yes	Yes	Yes	NONE
C	Resources	maReadData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maReadStore	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Resources	maWriteData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Screen	maScreenSetFullscreen	Yes	No	No	No	No	No	No	No	No	NONE
C	Screen	maScreenSetOrientation	Yes	No	No	No	No	No	No	No	No	NONE
C	Screen	maScreenStateEventsOff	Yes	No	No	No	No	No	No	No	No	NONE
C	Screen	maScreenStateEventsOn	Yes	No	No	No	No	No	No	No	No	NONE
C	Screen	maWidgetScreenAddOptionsMenuItem	Yes	No	Yes	No	No	No	No	No	No	NONE
HTML5	Sensor	accelerometer.clearWatch	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Sensor	accelerometer.getCurrentAcceleration	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Sensor	accelerometer.watchAcceleration	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	asynchronous only
HTML5	Sensor	compass.clearWatch	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Sensor	compass.getCurrentHeading	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Sensor	compass.watchHeading	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
C	Sensor	maSensorStart	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Sensor	maSensorStop	Yes	Yes	No	No	No	No	No	No	No	NONE
C++	Sensor	MAUtil::SensorListener	Yes	Yes	No	No	No	No	No	No	No	NONE
HTML5	Sensor	navigator.findSensors	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	Yes = W3C compliant
C++	Server	MAUtil::Server	Yes	No	No	Yes	Yes	No	Yes	Yes	No	NONE
C++	Server	MAUtil::ServerListener	Yes	No	No	Yes	Yes	No	Yes	Yes	No	NONE
C	SMS	maSendTextSMS	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Sound	maSoundGetVolume	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Sound	maSoundIsPlaying	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Sound	maSoundPlay	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Sound	maSoundSetVolume	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Sound	maSoundStop	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Sound	MAUtil::AudioDownloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
HTML5	Storage	Database*	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	Yes = W3C compliant
C	Storage	maCloseStore	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Storage	maOpenStore	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Storage	MAUtil::DataHandler	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Storage	maWriteStore	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	String	MAUtil::BasicString Tchar	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	String	MAUtil::StringData Tchar	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	String	strcmp	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	String	strcpy	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	MATest::TestCase	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	MATest::TestListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	MATest::TestSuite	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	MATest::XMLOutputTestListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::DefaultListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::Functor	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::IDEListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::ListenerHook	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::Test	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::TestCase	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::TestFunction	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::TestHook	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::TestListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Testing	Testify::TestManager	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Time	maLocalTime	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Time	maTime	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Time	MAUtil::Environment::TimerEventInstance	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Vibration	maVibrate	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::Context	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::ContextBase	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::ContextW	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::MtxListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::SaxContext	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::SaxContextBase	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::SaxContextW	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::SaxListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::SaxListenerT Tchar	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::SaxListenerW	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::XmlListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::XmlListenerT Tchar	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	XML	Mtx::XmlListenerW	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
